PSCID,PSC_Description
7010,ADPE SYSTEM CONFIGURATION
7020,"ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), ANALOG"
7021,"ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), DIGITAL"
7022,"ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), HYBRID"
7025,ADP INPUT/OUTPUT AND STORAGE DEVICES
7030,ADP SOFTWARE
7035,ADP SUPPORT EQUIPMENT
7040,PUNCHED CARD EQUIPMENT
7042,MINI AND MICRO COMPUTER CONTROL DEVICES
7045,ADP SUPPLIES
7050,ADP COMPONENTS
7105,HOUSEHOLD FURNITURE
7110,OFFICE FURNITURE
7125,"CABINETS, LOCKERS, BINS, AND SHELVING"
7195,MISC FURNITURE & FIXTURES
7210,HOUSEHOLD FURNISHINGS
7220,FLOOR COVERINGS
7230,"DRAPERIES, AWNINGS, AND SHADES"
7240,HOUSEHOLD AND COMMERCIAL UTILITY CONTAINERS
7290,MSC HOUSEHOLD FURNISHINGS APPLIANCE
7310,"FOOD COOKING, BAKING, AND SERVING EQUIPMENT"
7320,KITCHEN EQUIPMENT AND APPLIANCES
7330,KITCHEN HAND TOOLS AND UTENSILS
7340,CUTLERY AND FLATWARE
7350,TABLEWARE
7360,SET KIT & OUTFIT FOOD PREP & SERV
7420,ACCOUNTING AND CALCULATING MACHINES
7430,TYPEWRITERS AND OFFICE TYPE COMPOSING MACHINES
7435,OFFICE INFORMATION SYSTEM EQUIPMENT
7450,OFFICE SOUND RECORDING REPRO MACH
7460,VISIBLE RECORD EQUIPMENT
7490,MISCELLANEOUS OFFICE MACHINES
7510,OFFICE SUPPLIES
7520,OFFICE DEVICES AND ACCESSORIES
7530,STATIONERY AND RECORD FORMS
7540,STANDARD FORMS
7610,BOOKS AND PAMPHLETS
7630,NEWSPAPERS AND PERIODICALS
7640,"MAPS, ATLASES, CHARTS, AND GLOBES"
7641,"AERONAUTICAL MAPS, CHARTS AND GEODETIC PRODUCTS"
7642,"HYDROGRAPHIC MAPS, CHARTS AND GEODETIC PRODUCTS"
7643,"Topographic Maps, Charts & Geodesic Pr"
7644,"DIGITAL MAPS, CHARTS, GEODETIC PROD"
7650,DRAWINGS AND SPECIFICATIONS
7660,SHEET AND BOOK MUSIC
7670,"MICROFILM, PROCESSED"
7690,MISCELLANEOUS PRINTED MATTER
7710,MUSICAL INSTRUMENTS
7720,MUSICAL INSTRUMENT PARTS AND ACCESSORIES
7730,"PHONOGRAPHS, RADIOS, AND TELEVISION SETS: HOME TYPE"
7735,"PARTS AND ACCESSORIES OF PHONOGRAPHS, RADIOS, AND TELEVISION SET: HOME TYPE"
7740,PHONOGRAPH RECORDS
7810,ATHLETIC AND SPORTING EQUIPMENT
7820,"GAMES, TOYS, AND WHEELED GOODS"
7830,RECREATIONAL & GYMNASTIC EQ
7910,FLOOR POLISHERS AND VACUUM CLEANING EQUIPMENT
7920,"BROOMS, BRUSHES, MOPS, AND SPONGES"
7930,CLEANING AND POLISHING COMPOUNDS AND PREPARATIONS
8010,"PAINTS, DOPES, VARNISHES, AND RELATED PRODUCTS"
8020,PAINT AND ARTISTS' BRUSHES
8030,PRESERVATIVE AND SEALING COMPOUNDS
8040,ADHESIVES
8105,BAGS AND SACKS
8110,DRUMS AND CANS
8115,"BOXES, CARTONS, AND CRATES"
8120,COMMERCIAL AND INDUSTRIAL GAS CYLINDERS
8125,BOTTLES AND JARS
8130,REELS AND SPOOLS
8135,PACKAGING & PACKING BULK MATERIALS
8140,AMMUNITION & NUCLEAR ORDNANCE BOXES
8145,SPECIAL SHIPPING & STORAGE CONTAIN
8150,FREIGHT CONTAINERS
8305,TEXTILE FABRICS
8310,YARN AND THREAD
8315,NOTIONS AND APPAREL FINDINGS
8320,PADDING AND STUFFING MATERIALS
8325,FUR MATERIALS
8330,LEATHER
8335,SHOE FINDINGS AND SOLING MATERIALS
8340,TENTS AND TARPAULINS
8345,FLAGS AND PENNANTS
8405,"OUTERWEAR, MEN'S"
8410,"OUTERWEAR, WOMEN'S"
8415,"CLOTHING, SPECIAL PURPOSE"
8420,"UNDERWEAR AND NIGHTWEAR, MEN'S"
8425,"UNDERWEAR AND NIGHTWEAR, WOMEN'S"
8430,"FOOTWEAR, MEN'S"
8435,"FOOTWEAR, WOMEN'S"
8440,"HOSIERY, HANDWEAR, AND CLOTHING ACCESSORIES, MEN'S"
8445,"HOSIERY, HANDWEAR, AND CLOTHING ACCESSORIES, WOMEN'S"
8450,CHILDREN & INFANTS APPAREL & ACC
8455,BADGES AND INSIGNIA
8460,LUGGAGE
8465,INDIVIDUAL EQUIPMENT
8470,"ARMOR, PERSONAL"
8475,SPEC FLIGHT CLOTHING & ACCESSORIES
8510,"PERFUMES, TOILET PREPARATIONS, AND POWDERS"
8520,"TOILET SOAP,SHAVE PREP & DENTIFRICE"
8530,PERSONAL TOILETRY ARTICLES
8540,TOILETRY PAPER PRODUCTS
8710,FORAGE AND FEED
8720,FERTILIZERS
8730,SEEDS AND NURSERY STOCK
8810,"LIVE ANIMALS, RAISED FOR FOOD"
8820,"LIVE ANIMALS, NOT RAISED FOR FOOD"
8900,PERISHABLE SUBSISTENCE $10K TO $25K
8905,"MEAT, POULTRY, AND FISH"
8910,DAIRY FOODS AND EGGS
8915,FRUITS AND VEGETABLES
8920,BAKERY AND CEREAL PRODUCTS
8925,"SUGAR, CONFECTIONERY, AND NUTS"
8930,"JAMS, JELLIES, AND PRESERVES"
8935,SOUPS AND BOUILLONS
8940,SPECIAL DIETARY FOOD & SPECIAL PREP
8945,"FOOD, OILS AND FATS"
8950,CONDIMENTS AND RELATED PRODUCTS
8955,"COFFEE, TEA, AND COCOA"
8960,"BEVERAGES, NONALCOHOLIC"
8965,"BEVERAGES, ALCOHOLIC"
8970,COMPOSITE FOOD PACKAGES
8975,TOBACCO PRODUCTS
8999,FOOD ITEMS FOR RESALE
9110,"FUELS, SOLID"
9130,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE"
9135,LIQUID PROPELLANTS - CHEMICAL BASE
9140,FUEL OILS
9150,"OIL & GREASE-CUT,LUBR & HYDRAULIC"
9160,"MISCELLANEOUS WAXES, OILS, AND FATS"
9310,PAPER AND PAPERBOARD
9320,RUBBER FABRICATED MATERIALS
9330,PLASTICS FABRICATED MATERIALS
9340,GLASS FABRICATED MATERIALS
9350,REFRACTORIES & FIRE SURFACING MAT
9390,MISC FABRICATED NONMETAL MATERIALS
9410,CRUDE GRADES OF PLANT MATERIALS
9420,FIBERS VEGETABLE ANIMAL & SYNTHETIC
9430,MISC CRUDE ANIMAL PRODS - INEDIBLE
9440,MISC CRUDE AGRI & FORESTRY PROD
9450,"NONMETALLIC SCRAP, EXCEPT TEXTILE"
9505,"WIRE, NONELECTRICAL"
9510,BARS AND RODS
9515,"PLATE, SHEET, STRIP, FOIL, AND LEAF"
9520,STRUCTURAL SHAPES
9525,"WIRE, NONELECTRICAL, NONFERROUS BASE METAL"
9530,"BARS AND RODS, NONFERROUS BASE METAL"
9535,PLATE SHEET STRIP-NONFERROUS METAL
9540,"STRUCTURAL SHAPES, NONFERROUS BASE METAL"
9545,"PLATE, SHEET, STRIP, FOIL, AND WIRE: PRECIOUS METAL"
9610,ORES
9620,"MINERALS, NATURAL AND SYNTHETIC"
9630,ADDITIVE METAL MATERIALS
9640,IRON & STEEL PRIMARY & SEMIFINISHED
9650,NONFERROUS BASE METAL REFINERY
9660,PRECIOUS METALS PRIMARY FORMS
9670,IRON AND STEEL SCRAP
9680,NONFERROUS SCRAP
9905,"SIGNS,AD DISPLAYS & IDENT PLATES"
9915,COLLECTORS' AND/OR HISTORICAL ITEMS
9920,SMOKERS' ARTICLES AND MATCHES
9925,"ECCLESIASTICAL EQUIPMENT, FURNISHINGS, AND SUPPLIES"
9930,MEMORIALS-CEMETERY & MORTUARY EQ
9998,NON-FOOD ITEMS FOR RESALE
9999,MISCELLANEOUS ITEMS
AA10,R&D-INSECT & DIS CONT
AA11,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (BASIC RESEARCH)
AA12,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AA13,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (ADVANCED DEVELOPMENT)
AA14,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (ENGINEERING DEVELOPMENT)
AA15,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (OPERATIONAL SYSTEMS DEVELOPMENT)
AA16,R&D-INSECT & DIS CONT-MGMT SUP
AA17,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (COMMERCIALIZED)
AA20,R&D-AGRI MARKETING
AA21,AGRICULTURE MARKETING (BASIC)
AA22,R&D- AGRICULTURE: MARKETING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AA23,AGRICULTURE MARKETING (ADVANCED)
AA24,AGRICULTURE MARKETING (ENGINEERING)
AA25,AGRICULTURE MARKETING (OPERATIONAL)
AA26,R&D- AGRICULTURE: MARKETING (MANAGEMENT/SUPPORT)
AA27,R&D- AGRICULTURE: MARKETING (COMMERCIALIZED)
AA30,R&D-AGRI PRODUCTION
AA31,AGRICULTURE PRODUCTION (BASIC)
AA32,R&D- AGRICULTURE: PRODUCTION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AA33,R&D- AGRICULTURE: PRODUCTION (ADVANCED DEVELOPMENT)
AA34,R&D-AGRI PRODUCTION-ENG DEV
AA35,R&D-AGRI PRODUCTION-OPSY DEV
AA36,R&D- AGRICULTURE: PRODUCTION (MANAGEMENT/SUPPORT)
AA37,R&D- AGRICULTURE: PRODUCTION (COMMERCIALIZED)
AA41,R&D-AQUACUL/HYDROPONICS-B RES
AA42,R&D-AQUACUL/HYDROPONICS-A RES/EXPL
AA43,R&D-AQUACUL/HYDROPONICS-ADV DEV
AA44,R&D-AQUACUL/HYDROPONICS-ENG DEV
AA45,R&D-AQUACUL/HYDROPONICS-OPSY DEV
AA46,R&D-AQUACUL/HYDROPONICS-MGMT SUP
AA47,RDTE/Aquaculture & Hydroponics-Op System Develop
AA90,R&D-OTHER AGRI
AA91,OTHER AGRICULTURE (BASIC)
AA92,R&D- AGRICULTURE: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AA93,OTHER AGRICULTURE (ADVANCED)
AA94,OTHER AGRICULTURE (ENGINEERING)
AA95,OTHER AGRICULTURE (OPERATIONAL)
AA96,R&D- AGRICULTURE: OTHER (MANAGEMENT/SUPPORT)
AA97,R&D- AGRICULTURE: OTHER (COMMERCIALIZED)
AB10,R&D-CRIME PREVENT & CONT
AB11,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (BASIC RESEARCH)
AB12,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AB13,R&D-CRIME PREVENT & CONT-ADV DEV
AB14,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (ENGINEERING DEVELOPMENT)
AB15,R&D-CRIME PREVENT & CONT-OPSY DEV
AB16,R&D-CRIME PREVENT & CONT-MGMT SUP
AB17,R&D-CRIME PREVENT & CONT-COMERCLIZ
AB20,R&D-FIRE PREVENT & CONT
AB21,FIRE PREVENTION AND CONTROL (BASIC)
AB22,R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AB23,R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (ADVANCED DEVELOPMENT)
AB24,R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (ENGINEERING DEVELOPMENT)
AB25,R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (OPERATIONAL SYSTEMS DEVELOPMENT)
AB26,R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (MANAGEMENT/SUPPORT)
AB27,R&D-FIRE PREVENT & CONT-COMERCLIZ
AB30,R&D-RURAL SVCS & DEVELOP
AB31,R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL (BASIC RESEARCH)
AB32,R&D-RURAL SVCS & DEVELOP-A RES/EXPL
AB33,R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL (ADVANCED DEVELOPMENT)
AB34,R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL (ENGINEERING DEVELOPMENT)
AB35,R&D-RURAL SVCS & DEVELOP-OPSY DEV
AB36,R&D-RURAL SVCS & DEVELOP-MGMT SUP
AB37,R&D-RURAL SVCS & DEVELOP-COMERCLIZ
AB40,R&D-URBAN SVCS & DEVELOP
AB41,R&D-URBAN SVCS & DEVELOP-B RES
AB42,R&D-URBAN SVCS & DEVELOP-A RES/EXPL
AB43,R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN (ADVANCED DEVELOPMENT)
AB44,R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN (ENGINEERING DEVELOPMENT)
AB45,R&D-URBAN SVCS & DEVELOP-OPSY DEV
AB46,R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN (MANAGEMENT/SUPPORT)
AB47,R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN (COMMERCIALIZED)
AB90,R&D-OTHER SVC & DEVELOP
AB91,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (BASIC RESEARCH)
AB92,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AB93,R&D-OTHER SVC & DEVELOP-ADV DEV
AB94,R&D-OTHER SVC & DEVELOP-ENG DEV
AB95,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)
AB96,R&D-OTHER SVC & DEVELOP-MGMT SUP
AB97,R&D-OTHER SVC & DEVELOP-COMERCLIZ
AC10,R&D-AIRCRAFT
AC11,R&D- DEFENSE SYSTEM: AIRCRAFT (BASIC RESEARCH)
AC12,R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AC13,R&D- DEFENSE SYSTEM: AIRCRAFT (ADVANCED DEVELOPMENT)
AC14,R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT)
AC15,DEFENSE AIRCRAFT (OPERATIONAL)
AC16,R&D-AIRCRAFT-MGMT SUP
AC17,R&D- DEFENSE SYSTEM: AIRCRAFT (COMMERCIALIZED)
AC20,R&D-MISSILE & SPACE SYS
AC21,R&D-MISSILE & SPACE SYS-B RES
AC22,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AC23,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT)
AC24,R&D-MISSILE & SPACE SYS-ENG DEV
AC25,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (OPERATIONAL SYSTEMS DEVELOPMENT)
AC26,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (MANAGEMENT/SUPPORT)
AC27,R&D-MISSILE & SPACE SYS-COMERCLIZ
AC30,R&D-SHIPS
AC31,DEFENSE SHIPS (BASIC)
AC32,R&D- DEFENSE SYSTEM: SHIPS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AC33,DEFENSE SHIPS (ADVANCED)
AC34,R&D- DEFENSE SYSTEM: SHIPS (ENGINEERING DEVELOPMENT)
AC35,R&D- DEFENSE SYSTEM: SHIPS (OPERATIONAL SYSTEMS DEVELOPMENT)
AC36,DEFENSE SHIPS (MANAGEMENT/SUPPORT)
AC37,R&D- DEFENSE SYSTEM: SHIPS (COMMERCIALIZED)
AC40,R&D-TANK - AUTOMOTIVE
AC41,DEFENSE TANK - AUTOMOTIVE (BASIC)
AC42,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AC43,R&D-TANK - AUTOMOTIVE-ADV DEV
AC44,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (ENGINEERING DEVELOPMENT)
AC45,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (OPERATIONAL SYSTEMS DEVELOPMENT)
AC46,R&D-TANK - AUTOMOTIVE-MGMT SUP
AC47,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (COMMERCIALIZED)
AC50,R&D-WEAPONS
AC51,WEAPONS (BASIC)
AC52,R&D- DEFENSE SYSTEM: WEAPONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AC53,R&D- DEFENSE SYSTEM: WEAPONS (ADVANCED DEVELOPMENT)
AC54,WEAPONS (ENGINEERING)
AC55,WEAPONS (OPERATIONAL)
AC56,R&D- DEFENSE SYSTEM: WEAPONS (MANAGEMENT/SUPPORT)
AC57,R&D- DEFENSE SYSTEM: WEAPONS (COMMERCIALIZED)
AC60,R&D-ELECTRONICS & COMM EQ
AC61,R&D-ELECTRONICS & COMM EQ-B RES
AC62,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AC63,R&D-ELECTRONICS & COMM EQ-ADV DEV
AC64,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT)
AC65,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)
AC66,R&D-ELECTRONICS & COMM EQ-MGMT SUP
AC67,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (COMMERCIALIZED)
AC90,R&D-MISC HARD GOODS
AC91,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (BASIC RESEARCH)
AC92,R&D-MISC HARD GOODS-A RES/EXPL DEV
AC93,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (ADVANCED DEVELOPMENT)
AC94,R&D-MISC HARD GOODS-ENG DEV
AC95,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (OPERATIONAL SYSTEMS DEVELOPMENT)
AC96,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (MANAGEMENT/SUPPORT)
AC97,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (COMMERCIALIZED)
AD10,R&D-AMMUNITION
AD11,R&D- DEFENSE OTHER: AMMUNITION (BASIC RESEARCH)
AD12,R&D- DEFENSE OTHER: AMMUNITION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AD13,R&D- DEFENSE OTHER: AMMUNITION (ADVANCED DEVELOPMENT)
AD14,R&D- DEFENSE OTHER: AMMUNITION (ENGINEERING DEVELOPMENT)
AD15,R&D- DEFENSE OTHER: AMMUNITION (OPERATIONAL SYSTEMS DEVELOPMENT)
AD16,AMMUNITION (MANAGEMENT/SUPPORT)
AD17,R&D- DEFENSE OTHER: AMMUNITION (COMMERCIALIZED)
AD20,R&D-SVCS
AD21,SERVICES (BASIC)
AD22,SERVICES (APPLIED/EXPLORATORY)
AD23,R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT)
AD24,SERVICES (ENGINEERING)
AD25,R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT)
AD26,R&D- DEFENSE OTHER: SERVICES (MANAGEMENT/SUPPORT)
AD27,R&D-SVCS-COMERCLIZ
AD30,R&D-SUBSISTENCE
AD31,SUBSISTENCE (BASIC)
AD32,R&D- DEFENSE OTHER: SUBSISTENCE (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AD33,R&D- DEFENSE OTHER: SUBSISTENCE (ADVANCED DEVELOPMENT)
AD34,SUBSISTENCE (ENGINEERING)
AD35,R&D- DEFENSE OTHER: SUBSISTENCE (OPERATIONAL SYSTEMS DEVELOPMENT)
AD36,R&D- DEFENSE OTHER: SUBSISTENCE (MANAGEMENT/SUPPORT)
AD37,R&D- DEFENSE OTHER: SUBSISTENCE (COMMERCIALIZED)
AD40,"R&D-TEXTILES,CLOTHING,ETC"
AD41,"R&D-TEXTILES,CLOTHING,ETC-B RES"
AD42,R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AD43,"R&D-TEXTILES,CLOTHING,ETC-ADV DEV"
AD44,"R&D-TEXTILES,CLOTHING,ETC-ENG DEV"
AD45,"R&D-TEXTILES,CLOTHING,ETC-OPSY DEV"
AD46,R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (MANAGEMENT/SUPPORT)
AD47,R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (COMMERCIALIZED)
AD50,R&D-FUELS & LUBRICANTS
AD51,FUELS AND LUBRICANTS (BASIC)
AD52,R&D- DEFENSE OTHER: FUELS/LUBRICANTS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AD53,FUELS AND LUBRICANTS (ADVANCED)
AD54,R&D- DEFENSE OTHER: FUELS/LUBRICANTS (ENGINEERING DEVELOPMENT)
AD55,R&D- DEFENSE OTHER: FUELS/LUBRICANTS (OPERATIONAL SYSTEMS DEVELOPMENT)
AD56,R&D-FUELS & LUBRICANTS-MGMT SUP
AD57,R&D- DEFENSE OTHER: FUELS/LUBRICANTS (COMMERCIALIZED)
AD60,R&D-CONSTRUCT
AD61,CONSTRUCTION (BASIC)
AD62,R&D- DEFENSE OTHER: CONSTRUCTION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AD63,CONSTRUCTION (ADVANCED)
AD64,R&D- DEFENSE OTHER: CONSTRUCTION (ENGINEERING DEVELOPMENT)
AD65,R&D- DEFENSE OTHER: CONSTRUCTION (OPERATIONAL SYSTEMS DEVELOPMENT)
AD66,CONSTRUCTION (MANAGEMENT/SUPPORT)
AD67,R&D- DEFENSE OTHER: CONSTRUCTION (COMMERCIALIZED)
AD90,R&D-OTHER DEFENSE
AD91,OTHER DEFENSE (BASIC)
AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)
AD94,OTHER DEFENSE (ENGINEERING)
AD95,OTHER DEFENSE (OPERATIONAL)
AD96,R&D- DEFENSE OTHER: OTHER (MANAGEMENT/SUPPORT)
AD97,R&D- DEFENSE OTHER: OTHER (COMMERCIALIZED)
AE10,R&D-EMPL GROW-PRODUCTIVTY
AE11,R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (BASIC RESEARCH)
AE12,R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AE13,R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (ADVANCED DEVELOPMENT)
AE14,R&D-EMPL GROW-PRODUCTIVTY-ENG DEV
AE15,R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (OPERATIONAL SYSTEMS DEVELOPMENT)
AE16,R&D-EMPL GROW-PRODUCTIVTY-MGMT SUP
AE17,R&D-EMPL GROW-PRODUCTIVTY-COMERCLIZ
AE20,R&D-PROD/SERV IMPROVEMENT
AE21,R&D-PROD/SERV IMPROVEMENT-B RES
AE22,R&D-PROD/SERV IMPROVEMENT-A RES/EXP
AE23,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (ADVANCED DEVELOPMENT)
AE24,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (ENGINEERING DEVELOPMENT)
AE25,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (OPERATIONAL SYSTEMS DEVELOPMENT)
AE26,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (MANAGEMENT/SUPPORT)
AE27,R&D-PROD/SERV IMPROVEMENT-COMERCLIZ
AE30,R&D-MANUFACTURING TECH
AE31,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (BASIC RESEARCH)
AE32,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AE33,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (ADVANCED DEVELOPMENT)
AE34,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (ENGINEERING DEVELOPMENT)
AE35,R&D-MANUFACTURING TECH-OPSY DEV
AE36,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (MANAGEMENT/SUPPORT)
AE37,R&D-MANUFACTURING TECH-COMERCLIZ
AE90,R&D-ECON GROW-PRODUCTIVTY
AE91,R&D- ECONOMIC GROWTH: OTHER (BASIC RESEARCH)
AE92,R&D- ECONOMIC GROWTH: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AE93,R&D-ECON GROW-PRODUCTIVTY-ADV DEV
AE94,R&D-ECON GROW-PRODUCTIVTY-ENG DEV
AE95,R&D-ECON GROW-PRODUCTIVTY-OPSY DEV
AE96,R&D-ECON GROW-PRODUCTIVTY-MGMT SUP
AE97,R&D- ECONOMIC GROWTH: OTHER (COMMERCIALIZED)
AF10,R&D-EDUCATIONAL
AF11,R&D- EDUCATION: EDUCATIONAL (BASIC RESEARCH)
AF12,R&D- EDUCATION: EDUCATIONAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AF13,R&D- EDUCATION: EDUCATIONAL (ADVANCED DEVELOPMENT)
AF14,R&D- EDUCATION: EDUCATIONAL (ENGINEERING DEVELOPMENT)
AF15,EDUCATION (OPERATIONAL)
AF16,EDUCATION (MANAGEMENT/SUPPORT)
AF17,R&D- EDUCATION: EDUCATIONAL (COMMERCIALIZED)
AG10,R&D-ENERGY - COAL
AG11,COAL (BASIC)
AG12,R&D- ENERGY: COAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AG13,COAL (ADVANCED)
AG14,COAL (ENGINEERING)
AG15,COAL (OPERATIONAL)
AG16,COAL (MANAGEMENT/SUPPORT)
AG17,R&D- ENERGY: COAL (COMMERCIALIZED)
AG20,R&D-ENERGY - GAS
AG21,GAS (BASIC)
AG22,GAS (APPLIED/EXPLORATORY)
AG23,GAS (ADVANCED)
AG24,R&D- ENERGY: GAS (ENGINEERING DEVELOPMENT)
AG25,GAS (OPERATIONAL)
AG26,R&D- ENERGY: GAS (MANAGEMENT/SUPPORT)
AG27,R&D- ENERGY: GAS (COMMERCIALIZED)
AG30,R&D-ENERGY - GEOTHERMAL
AG31,R&D- ENERGY: GEOTHERMAL (BASIC RESEARCH)
AG32,R&D- ENERGY: GEOTHERMAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AG33,GEOTHERMAL (ADVANCED)
AG34,GEOTHERMAL (ENGINEERING)
AG35,GEOTHERMAL (OPERATIONAL)
AG36,GEOTHERMAL (MANAGEMENT/SUPPORT)
AG37,R&D- ENERGY: GEOTHERMAL (COMMERCIALIZED)
AG40,R&D-ENERGY - WIND
AG41,WIND ENERGY (BASIC)
AG42,R&D- ENERGY: WIND (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AG43,WIND ENERGY (ADVANCED)
AG44,WIND ENERGY (ENGINEERING)
AG45,WIND ENERGY (OPERATIONAL)
AG46,R&D- ENERGY: WIND (MANAGEMENT/SUPPORT)
